C1,C2,C3,C4,Score
#FFF1BC,#6A9C78,#C4E3CB,#F9F8ED,5092
#F79540,#FC4F00,#B71375,#8B1874,5090
#33186B,#7360DF,#C499F3,#F2AFEF,5080
#A3F7BF,#29A19C,#393E46,#222831,5075
#F582A7,#F10086,#711A75,#180A0A,5071
#E8E1D9,#F4A442,#3E7C17,#125C13,5063
#FCB2BF,#CF56A1,#8B2F97,#511E78,5049
#F3CF7A,#BE6A15,#AC3F21,#6E3B3B,5041
#57A6A1,#577B8D,#344C64,#240750,5041
#264E86,#0074E4,#74DBEF,#EFF0F4,5036
#97BE5A,#FFE8C5,#FFA27F,#FF0000,5013
#400E32,#A61F69,#F2921D,#F2CD5C,5011
#FDBA9A,#F64B3C,#C81912,#42240C,5006
#FFCE89,#FFF76A,#ADCE74,#61B15A,4984
#FAE392,#FBD85D,#F1C93B,#1A5D1A,4975
#F6EEC9,#FED39F,#FE8761,#AF460F,4968
#F8F2DE,#ECDCBF,#A31D1D,#D84040,4968
#E0E7E9,#A3C6C4,#6C7A89,#354649,4964
#525B44,#5A6C57,#85A98F,#D3F1DF,4959
#FAF8ED,#748E63,#99B080,#F9B572,4956
#7CBD1E,#BCEB3C,#F1F864,#FCF9F9,4950
#FFF2F9,#FE83C6,#FA4EAB,#323232,4943
#EDF9FC,#D1F4FA,#53CDE2,#005792,4912
#AC73FF,#ACA8FF,#9DE5FF,#D5FDFF,4901
#94F3E4,#37AA9C,#333F44,#1A1A1B,4889
#E3E7F1,#C6CBEF,#8186D5,#494CA2,4878
#646464,#FF9642,#FFE05D,#FFF8CD,4871
#2B7A0B,#5BB318,#7DCE13,#EAE509,4866
#F6DED8,#F2B28C,#D2665A,#B82132,4855
#EEEEEE,#EAD196,#BF3131,#7D0A0A,4851
#F56262,#FCA180,#FFD480,#FFFE9F,4850
#714288,#9873B9,#CAABD8,#FFCCCC,4848
#ADB36E,#FAD5AD,#FF9A8C,#EA2C62,4846
#821752,#DE4463,#EDC988,#F8EFD4,4815
#FDEBD0,#F7CAC9,#F75270,#DC143C,4802
#F8EEDF,#E8C999,#8E1616,#000000,4799
#FCCD2A,#FFFBE6,#C0EBA6,#347928,4788
#CD0A0A,#EC0101,#EB8F8F,#F1F3DE,4786
#E7F2EF,#A1C2BD,#708993,#19183B,4780
#15B392,#54C392,#73EC8B,#D2FF72,4772
#65B741,#C1F2B0,#FBF6EE,#FFB534,4754
#EFEFEF,#FFFAE7,#FFDE00,#D2001A,4751
#A7EDE7,#45CFDD,#9681EB,#6527BE,4750
#F5DAA7,#A3485A,#842A3B,#662222,4741
#BDB395,#D5C7A3,#F2E2B1,#F6F0F0,4731
#FFE5AD,#3E001F,#982176,#F11A7B,4718
#E8FFD7,#93DA97,#5E936C,#3E5F44,4711
#BDC3C7,#ECF0F1,#34495E,#2C3E50,4708
#33030D,#5A082D,#9D0B28,#FF004D,4700
#DDC3C3,#A376A2,#8D5F8C,#6B3F69,4697
#1B1C25,#1F4068,#206A5D,#EBECF1,4677
#9A4444,#DE8F5F,#F4DFB6,#D6D46D,4648
#FBF9D1,#E6CFA9,#C1856D,#9A3F3F,4648
#FEFF9F,#D3EE98,#A0D683,#72BF78,4643
#F3EDED,#F5C16C,#DF8931,#AA530E,4640
#EF5A5A,#FFA952,#FFE79A,#FEFFDF,4638
#4A4A4A,#FFCD38,#FFDD67,#F3F3F3,4628
#5837D0,#5DA7DB,#81C6E8,#7DE5ED,4618
#555273,#65799B,#B6D5E1,#E2EFF1,4603
#3B3B1A,#8A784E,#AEC8A4,#E7EFC7,4581
#FB9EC6,#FBB4A5,#FFE893,#FCFFC1,4575
#AF3E3E,#CD5656,#DA6C6C,#EAEBD0,4567
#3B577D,#44679F,#C0D9E5,#DDF5F7,4562
#FC28FB,#FFADF0,#FBCAFF,#FDEBF7,4556
#594100,#644A07,#FFC6C6,#FFDBDB,4540
#000000,#854836,#FFB22C,#F7F7F7,4534
#FF2171,#FF90BB,#FFE4A7,#FFFAD7,4529
#C9D1D3,#00909E,#465881,#1B2A49,4524
#F3FBF1,#D1E4D1,#98B4A6,#64868E,4505
#5D5D5A,#FFA45C,#FFCDAB,#FFF4E3,4505
#292725,#C40018,#E9290F,#FF6107,4495
#FF8364,#FFB677,#FFD98E,#616F39,4494
#7E370C,#B05E27,#D4AC2B,#FFCE45,4494
#FFEDB2,#FFBF87,#FF9867,#FF4545,4485
#EBF7FD,#A5DEF1,#36506C,#233142,4474
#F2C18D,#F6F193,#C5EBAA,#A5DD9B,4474
#38470B,#A0855B,#F1D6AB,#F9F6F2,4459
#B0A4A4,#957777,#643A6B,#5F264A,4457
#812D58,#BA6476,#F0A28E,#F5D7A1,4449
#4EF037,#128494,#00B7C2,#ECFEFF,4449
#34222E,#E2434B,#F9BF8F,#FEE9D7,4440
#7CF5FF,#00CCDD,#4F75FF,#6439FF,4439
#D1CEBD,#F6EEDF,#F57B51,#D63447,4436
#F5EFEF,#FFCB8E,#E97171,#810000,4434
